;y;Ra;Rq;Rz;Rmax;Rsm;Rsk;Rku;WDt;WDsm;WDc
0;7920,000;8,647;15,371;186,344;186,344;3071,623;4,427;37,550;465,827;11906,771;465,827
0;7965,000;8,220;14,365;154,476;154,476;3561,071;3,628;26,002;477,670;11898,618;477,670
0;8010,000;8,832;14,143;162,023;162,023;3813,591;2,582;19,132;486,096;0,000;486,096
0;8055,000;9,033;14,565;168,653;168,653;2220,578;3,191;25,494;492,851;5949,288;492,851
0;8100,000;9,170;15,839;228,728;228,728;4479,734;4,421;48,504;500,897;5931,992;500,897
0;8145,000;9,609;16,262;241,312;241,312;4223,037;4,166;43,362;509,985;6131,726;509,985
0;8190,000;9,407;15,554;195,582;195,582;3380,569;3,164;26,238;506,717;6180,688;506,717
0;8235,000;9,167;16,164;241,980;241,980;4568,746;4,252;45,777;522,119;6256,750;522,119
0;8280,000;9,547;16,568;217,816;217,816;2198,270;3,913;33,645;498,480;6560,287;498,480
0;8325,000;9,641;17,525;244,896;244,896;5248,590;4,631;46,631;410,646;6720,221;410,646
0;8370,000;9,523;16,129;225,247;225,247;3443,438;3,165;32,210;378,753;6784,907;378,753
0;8415,000;9,284;15,309;205,011;205,011;4599,154;3,671;35,017;382,286;6767,849;382,286
0;8460,000;9,051;15,096;227,530;227,530;4609,858;3,917;42,520;375,521;7347,841;375,521
0;8505,000;11,820;19,713;298,238;298,238;2771,091;5,033;62,706;406,958;7694,263;406,958
0;8550,000;12,176;18,821;255,970;255,970;2276,313;3,307;34,025;420,005;7690,454;420,005
0;8595,000;12,046;18,723;253,986;253,986;3208,272;3,715;37,246;412,757;6112,480;412,757
0;8640,000;12,385;18,328;240,177;240,177;2650,918;2,725;23,560;415,122;6106,773;415,122
0;8685,000;9,350;13,791;128,263;128,263;1752,431;2,826;16,274;387,842;12208,432;387,842
0;8730,000;9,142;13,180;114,060;114,060;1140,927;2,331;11,297;373,256;13561,160;373,256
0;8775,000;10,799;14,494;111,849;111,849;763,891;0,995;5,964;346,151;6933,761;346,151
0;8820,000;8,722;12,476;116,526;116,526;2285,384;2,118;10,574;282,950;6120,168;282,950
0;8865,000;10,698;16,657;241,779;241,779;2709,711;4,381;48,215;257,649;6561,619;257,649
0;8910,000;10,682;14,477;125,353;125,353;927,592;0,910;6,022;196,765;6099,451;196,765
0;8955,000;10,576;13,388;108,644;108,644;742,293;0,090;4,033;165,789;2450,662;165,789
0;9000,000;10,010;12,626;78,813;78,813;609,861;0,160;3,227;139,773;3713,412;139,773
0;9045,000;7,239;9,550;70,266;70,266;610,781;1,247;4,503;147,409;0,000;147,409
0;9090,000;7,480;10,054;85,105;85,105;818,049;1,704;7,284;151,038;5360,619;151,038
0;9135,000;9,827;12,695;87,434;87,434;969,549;0,182;3,741;153,201;1171,180;153,201
0;9180,000;8,859;11,447;77,134;77,134;669,897;-0,007;3,632;181,125;605,971;181,125
